group,value,n,pairwise_accuracy,top1_accuracy,mean_margin,median_margin,failure_rate
overall,all,15,1.0,1.0,0.005714285714285716,0.0,0.0
task_type,attribute_binding,3,1.0,1.0,0.0,0.0,0.0
task_type,counting,3,1.0,1.0,0.0,0.0,0.0
task_type,negation,3,1.0,1.0,0.02857142857142858,0.02857142857142858,0.0
task_type,spatial_above_below,3,1.0,1.0,0.0,0.0,0.0
task_type,spatial_left_right,3,1.0,1.0,0.0,0.0,0.0
relation,above,3,1.0,1.0,0.0,0.0,0.0
relation,border_absence,3,1.0,1.0,0.02857142857142858,0.02857142857142858,0.0
relation,left_of,3,1.0,1.0,0.0,0.0,0.0
relation,nan,6,1.0,1.0,0.0,0.0,0.0
model_name,text_bow_baseline,15,1.0,1.0,0.005714285714285716,0.0,0.0
device,none,15,1.0,1.0,0.005714285714285716,0.0,0.0
color_object_pair,blue_circle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,blue_square,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,blue_star,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,blue_triangle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,green_circle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,green_triangle,3,1.0,1.0,0.0,0.0,0.0
color_object_pair,orange_square,2,1.0,1.0,0.01428571428571429,0.01428571428571429,0.0
color_object_pair,orange_triangle,2,1.0,1.0,0.0,0.0,0.0
color_object_pair,purple_circle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,purple_star,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,purple_triangle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,red_circle,1,1.0,1.0,0.0,0.0,0.0
color_object_pair,red_square,2,1.0,1.0,0.0,0.0,0.0
color_object_pair,red_star,1,1.0,1.0,0.02857142857142858,0.02857142857142858,0.0
color_object_pair,red_triangle,3,1.0,1.0,0.0,0.0,0.0
color_object_pair,yellow_circle,7,1.0,1.0,0.0,0.0,0.0
color_object_pair,yellow_square,1,1.0,1.0,0.02857142857142858,0.02857142857142858,0.0
color_object_pair,yellow_triangle,1,1.0,1.0,0.0,0.0,0.0
